date, value
2021-07-06,9.37185841020124
2021-07-07,9.529489056244378
2021-07-08,9.401620839873718
2021-07-09,9.580195417908605
2021-07-10,9.55851661111013
2021-07-11,9.536837804311658
2021-07-12,9.515158997513183
2021-07-13,9.495317377731531
2021-07-14,9.40823471313427
2021-07-15,9.530591368454472
2021-07-16,9.530591368454472
2021-07-17,9.441304079437028
2021-07-18,9.352016790419585
2021-07-19,9.262729501402141
2021-07-20,9.398313903243443
2021-07-21,9.418155523025098
2021-07-22,9.562558422547136
2021-07-23,9.700347448808621
2021-07-24,9.836299288053288
2021-07-25,9.972251127297953
2021-07-26,10.10820296654262
2021-07-27,10.018915677525177
2021-07-28,9.881126651263692
2021-07-29,9.972618564701317
2021-07-30,9.882228963473782
2021-07-31,9.84585266054075
2021-08-01,9.809476357607718
2021-08-02,9.773100054674686
2021-08-03,9.669482706926049
2021-08-04,9.551535300446215
2021-08-05,9.585706978959065
2021-08-06,9.585706978959065
2021-08-07,9.542716802765481
2021-08-08,9.499726626571897
2021-08-09,9.456736450378314
2021-08-10,9.598934725480168
2021-08-11,9.628697155152647
2021-08-12,9.612162472001271
2021-08-13,9.681608141237058
2021-08-14,9.634208716203108
2021-08-15,9.586809291169155
2021-08-16,9.539409866135205
2021-08-17,9.272650311292969
2021-08-18,9.083052611157164
2021-08-19,8.908887281962645
2021-08-20,9.120531226300287
2021-08-21,9.194018706973079
2021-08-22,9.267506187645873
2021-08-23,9.340993668318665
2021-08-24,9.387290781142525
2021-08-25,9.40823471313427
2021-08-26,9.369433323339036
2021-08-27,9.532575530432636
2021-08-28,9.566232796580774
2021-08-29,9.599890062728914
2021-08-30,9.633547328877052
2021-08-31,9.638617965043474
2021-09-01,9.431383269546199
2021-09-02,9.48870350447098
2021-09-03,9.55484223707649
2021-09-04,9.55484223707649
2021-09-05,9.55484223707649
2021-09-06,9.55484223707649
2021-09-07,9.439099455016844
2021-09-08,9.33217517063793
2021-09-09,9.447917952697578
2021-09-10,9.814987918658177
2021-09-11,9.752523560086304
2021-09-12,9.69005920151443
2021-09-13,9.627594842942557
2021-09-14,9.526182119614102
2021-09-15,9.714677507539816
2021-09-16,9.439099455016844
2021-09-17,9.36083528810032
2021-09-18,9.264199251015597
2021-09-19,9.167563213930874
2021-09-20,9.070927176846151
2021-09-21,9.096280357678268
2021-09-22,9.374063034621422
2021-09-23,9.327765921797562
2021-09-24,9.447917952697578
2021-09-25,9.45085745192449
2021-09-26,9.453796951151404
2021-09-27,9.456736450378314
2021-09-28,9.361937600310412
2021-09-29,9.257217940351682
2021-09-30,9.014709254131468
2021-10-01,9.234069383939753
2021-10-02,9.270813124276149
2021-10-03,9.307556864612545
2021-10-04,9.344300604948941
2021-10-05,9.242887881620486
2021-10-06,9.143679782712217
2021-10-07,9.35532372704986
2021-10-08,9.425871708495741
2021-10-09,9.492745315907982
2021-10-10,9.559618923320224
2021-10-11,9.626492530732465
2021-10-12,9.53610292950493
2021-10-13,9.95608388154994
2021-10-14,10.210718002081165
2021-10-15,10.426771195259175
2021-10-16,10.423831696032265
2021-10-17,10.420892196805353
2021-10-18,10.417952697578441
2021-10-19,10.368348648124305
2021-10-20,10.437794317360094
2021-10-21,10.049780419407751
2021-10-22,9.916400641986632
2021-10-23,9.93844688618847
2021-10-24,9.960493130390306
2021-10-25,9.982539374592143
2021-10-26,9.889945148944426
2021-10-27,9.67719889239669
2021-10-28,9.785225488985697
2021-10-29,9.62979946736274
2021-10-30,9.648538774934302
2021-10-31,9.667278082505867
2021-11-01,9.686017390077428
2021-11-02,9.625390218522371
2021-11-03,9.526182119614102
2021-11-04,9.52507980740401
2021-11-05,9.574683856858146
2021-11-06,9.61583684603491
2021-11-07,9.656989835211673
2021-11-08,9.698142824388437
2021-11-09,9.64082258946366
2021-11-10,9.530591368454472
2021-11-11,9.69924513659853
2021-11-12,9.809476357607718
2021-11-13,9.773100054674686
2021-11-14,9.736723751741653
2021-11-15,9.700347448808621
2021-11-16,9.593423164429707
2021-11-17,9.404927776503994
2021-11-18,9.48980581668107
2021-11-19,9.716882131959999
2021-11-20,9.708798509085991
2021-11-21,9.700714886211985
2021-11-22,9.692631263337978
2021-11-23,9.752156122682939
2021-11-24,9.832845376461666
2021-11-25,9.639940739695586
2021-11-26,9.447036102929506
2021-11-27,9.486278417608776
2021-11-28,9.525520732288047
2021-11-29,9.564763046967318
2021-11-30,9.433146969082348
2021-12-01,9.365244536940688
2021-12-02,9.478782694580152
2021-12-03,9.404927776503994
2021-12-04,9.457471325185042
2021-12-05,9.510014873866089
2021-12-06,9.562558422547136
2021-12-07,9.565865359177412
2021-12-08,9.681608141237058
2021-12-09,9.54822836381594
2021-12-10,9.444611016067302
2021-12-11,9.442038954243756
2021-12-12,9.439466892420207
2021-12-13,9.43689483059666
2021-12-14,9.379574595671881
2021-12-15,9.21533007636819
2021-12-16,9.482089631210428
2021-12-17,9.458941074798497
2021-12-18,9.456736450378312
2021-12-19,9.45453182595813
2021-12-20,9.452327201537946
2021-12-21,9.564763046967318
2021-12-22,9.674994267976507
2021-12-23,9.672789643556325
2021-12-24,9.672789643556325
2021-12-25,9.672789643556325
2021-12-26,9.672789643556325
2021-12-27,9.846954972750842
2021-12-28,9.76163600768973
2021-12-29,9.720409531032292
2021-12-30,9.676757967512655
2021-12-31,9.836593237975979
